PERFUME_ID,ACCORD,VOTE,LOAD_DT
8272,Leathery,4,2026-01-20 08:41:47
8272,Aquatic,4,2026-01-20 08:41:47
8272,Spicy,3,2026-01-20 08:41:47
8272,Woody,2,2026-01-20 08:41:47
8272,Fresh,2,2026-01-20 08:41:47
8272,Creamy,1,2026-01-20 08:41:47
8272,Floral,1,2026-01-20 08:41:47
8275,Floral,14,2026-01-20 08:41:47
8275,Sweet,9,2026-01-20 08:41:47
8275,Woody,9,2026-01-20 08:41:47
8275,Spicy,8,2026-01-20 08:41:47
8275,Fruity,5,2026-01-20 08:41:47
8275,Fresh,3,2026-01-20 08:41:47
8276,Woody,4,2026-01-20 08:41:47
8276,Floral,4,2026-01-20 08:41:47
8276,Spicy,3,2026-01-20 08:41:47
8276,Sweet,2,2026-01-20 08:41:47
8276,Synthetic,1,2026-01-20 08:41:47
8277,Fruity,12,2026-01-20 08:41:47
8277,Fresh,12,2026-01-20 08:41:47
8277,Citrus,10,2026-01-20 08:41:47
8277,Sweet,9,2026-01-20 08:41:47
8277,Synthetic,8,2026-01-20 08:41:47
8277,Spicy,5,2026-01-20 08:41:47
8277,Woody,4,2026-01-20 08:41:47
8277,Green,4,2026-01-20 08:41:47
8280,Spicy,1,2026-01-20 08:41:47
8280,Synthetic,1,2026-01-20 08:41:47
8280,Sweet,1,2026-01-20 08:41:47
8280,Leathery,1,2026-01-20 08:41:47
8280,Floral,1,2026-01-20 08:41:47
8281,Floral,22,2026-01-20 08:41:47
8281,Fresh,15,2026-01-20 08:41:47
8281,Synthetic,8,2026-01-20 08:41:47
8281,Fruity,7,2026-01-20 08:41:47
8281,Sweet,5,2026-01-20 08:41:47
8283,Woody,7,2026-01-20 08:41:47
8283,Synthetic,6,2026-01-20 08:41:47
8283,Floral,4,2026-01-20 08:41:47
8283,Spicy,3,2026-01-20 08:41:47
8283,Smoky,3,2026-01-20 08:41:47
8283,Green,3,2026-01-20 08:41:47
8283,Fresh,3,2026-01-20 08:41:47
8283,Creamy,3,2026-01-20 08:41:47
8291,Woody,5,2026-01-20 08:41:47
8291,Spicy,4,2026-01-20 08:41:47
8291,Resinous,4,2026-01-20 08:41:47
8291,Smoky,3,2026-01-20 08:41:47
8291,Floral,2,2026-01-20 08:41:47
8291,Sweet,1,2026-01-20 08:41:47
8291,Oriental,1,2026-01-20 08:41:47
8291,Fruity,1,2026-01-20 08:41:47
8291,Animal,1,2026-01-20 08:41:47
8294,Spicy,1,2026-01-20 08:41:47
8294,Synthetic,1,2026-01-20 08:41:47
8294,Sweet,1,2026-01-20 08:41:47
8294,Fresh,1,2026-01-20 08:41:47
8295,Citrus,8,2026-01-20 08:41:47
8295,Fresh,8,2026-01-20 08:41:47
8295,Synthetic,5,2026-01-20 08:41:47
8295,Green,5,2026-01-20 08:41:47
8295,Spicy,4,2026-01-20 08:41:47
8295,Fougère,4,2026-01-20 08:41:47
8295,Woody,3,2026-01-20 08:41:47
8296,Floral,20,2026-01-20 08:41:47
8296,Synthetic,15,2026-01-20 08:41:47
8296,Fresh,13,2026-01-20 08:41:47
8296,Green,9,2026-01-20 08:41:47
8296,Aquatic,7,2026-01-20 08:41:47
8296,Spicy,4,2026-01-20 08:41:47
8296,Sweet,4,2026-01-20 08:41:47
8296,Woody,4,2026-01-20 08:41:47
8296,Fruity,4,2026-01-20 08:41:47
8299,Leathery,9,2026-01-20 08:41:47
8299,Woody,8,2026-01-20 08:41:47
8299,Floral,8,2026-01-20 08:41:47
8299,Spicy,5,2026-01-20 08:41:47
8299,Synthetic,4,2026-01-20 08:41:47
8299,Green,4,2026-01-20 08:41:47
8299,Sweet,3,2026-01-20 08:41:47
8299,Powdery,3,2026-01-20 08:41:47
8299,Fruity,3,2026-01-20 08:41:47
8299,Fresh,3,2026-01-20 08:41:47
8299,Creamy,3,2026-01-20 08:41:47
8299,Animal,3,2026-01-20 08:41:47
8301,Fruity,11,2026-01-20 08:41:47
8301,Sweet,9,2026-01-20 08:41:47
8301,Woody,8,2026-01-20 08:41:47
8301,Floral,8,2026-01-20 08:41:47
8301,Oriental,6,2026-01-20 08:41:47
8301,Resinous,3,2026-01-20 08:41:47
8302,Fresh,2,2026-01-20 08:41:47
8302,Creamy,2,2026-01-20 08:41:47
8302,Floral,2,2026-01-20 08:41:47
8303,Leathery,9,2026-01-20 08:41:47
8303,Powdery,8,2026-01-20 08:41:47
8303,Floral,8,2026-01-20 08:41:47
8303,Spicy,6,2026-01-20 08:41:47
8303,Sweet,6,2026-01-20 08:41:47
8303,Synthetic,4,2026-01-20 08:41:47
8303,Animal,4,2026-01-20 08:41:47
8307,Spicy,4,2026-01-20 08:41:47
8307,Sweet,4,2026-01-20 08:41:47
8307,Citrus,3,2026-01-20 08:41:47
8307,Woody,3,2026-01-20 08:41:47
8307,Resinous,3,2026-01-20 08:41:47
8307,Fresh,2,2026-01-20 08:41:47
8307,Creamy,2,2026-01-20 08:41:47
8307,Smoky,1,2026-01-20 08:41:47
8307,Powdery,1,2026-01-20 08:41:47
8307,Gourmand,1,2026-01-20 08:41:47
8309,Floral,20,2026-01-20 08:41:47
8309,Fresh,18,2026-01-20 08:41:47
8309,Green,14,2026-01-20 08:41:47
8309,Fruity,14,2026-01-20 08:41:47
8309,Sweet,11,2026-01-20 08:41:47
8309,Synthetic,7,2026-01-20 08:41:47
8309,Creamy,5,2026-01-20 08:41:47
8311,Floral,6,2026-01-20 08:41:47
8311,Powdery,4,2026-01-20 08:41:47
8311,Green,4,2026-01-20 08:41:47
8311,Sweet,3,2026-01-20 08:41:47
8311,Fresh,3,2026-01-20 08:41:47
8311,Spicy,2,2026-01-20 08:41:47
8311,Synthetic,2,2026-01-20 08:41:47
8311,Woody,2,2026-01-20 08:41:47
8311,Earthy,2,2026-01-20 08:41:47
8311,Creamy,2,2026-01-20 08:41:47
8313,Green,15,2026-01-20 08:41:47
8313,Citrus,14,2026-01-20 08:41:47
8313,Floral,13,2026-01-20 08:41:47
8313,Fresh,12,2026-01-20 08:41:47
8313,Spicy,8,2026-01-20 08:41:47
8313,Woody,6,2026-01-20 08:41:47
8313,Resinous,6,2026-01-20 08:41:47
8313,Fruity,6,2026-01-20 08:41:47
8313,Sweet,5,2026-01-20 08:41:47
8314,Fruity,3,2026-01-20 08:41:47
8314,Fresh,3,2026-01-20 08:41:47
8314,Creamy,2,2026-01-20 08:41:47
8314,Floral,2,2026-01-20 08:41:47
8314,Green,1,2026-01-20 08:41:47
8317,Green,14,2026-01-20 08:41:47
8317,Woody,12,2026-01-20 08:41:47
8317,Spicy,11,2026-01-20 08:41:47
