PERFUME_ID,AUDIENCE,VOTE,LOAD_DT
8277,Masculine,14,2026-01-20 08:39:32
8277,Modern,9,2026-01-20 08:39:32
8277,Classic,8,2026-01-20 08:39:32
8277,Feminine,6,2026-01-20 08:39:32
8281,Feminine,21,2026-01-20 08:39:32
8281,Modern,14,2026-01-20 08:39:32
8281,Classic,6,2026-01-20 08:39:32
8296,Feminine,19,2026-01-20 08:39:32
8296,Modern,10,2026-01-20 08:39:32
8296,Masculine,9,2026-01-20 08:39:32
8296,Classic,4,2026-01-20 08:39:32
8299,Masculine,9,2026-01-20 08:39:32
8299,Feminine,7,2026-01-20 08:39:32
8299,Classic,5,2026-01-20 08:39:32
8299,Modern,5,2026-01-20 08:39:32
8309,Feminine,22,2026-01-20 08:39:32
8309,Modern,9,2026-01-20 08:39:32
8309,Masculine,5,2026-01-20 08:39:32
8309,Classic,5,2026-01-20 08:39:32
8313,Masculine,17,2026-01-20 08:39:32
8313,Feminine,11,2026-01-20 08:39:32
8313,Modern,9,2026-01-20 08:39:32
8313,Classic,7,2026-01-20 08:39:32
8317,Masculine,18,2026-01-20 08:39:32
8317,Classic,6,2026-01-20 08:39:32
8317,Modern,5,2026-01-20 08:39:32
8317,Feminine,3,2026-01-20 08:39:32
8319,Feminine,37,2026-01-20 08:39:32
8319,Modern,17,2026-01-20 08:39:32
8319,Classic,10,2026-01-20 08:39:32
8319,Masculine,7,2026-01-20 08:39:32
8321,Feminine,16,2026-01-20 08:39:32
8321,Modern,7,2026-01-20 08:39:32
8321,Classic,5,2026-01-20 08:39:32
8325,Feminine,22,2026-01-20 08:39:32
8325,Classic,10,2026-01-20 08:39:32
8325,Modern,8,2026-01-20 08:39:32
8326,Masculine,31,2026-01-20 08:39:32
8326,Feminine,28,2026-01-20 08:39:32
8326,Modern,12,2026-01-20 08:39:32
8326,Classic,9,2026-01-20 08:39:32
8329,Masculine,21,2026-01-20 08:39:32
8329,Feminine,14,2026-01-20 08:39:32
8329,Classic,2,2026-01-20 08:39:32
8329,Modern,2,2026-01-20 08:39:32
8334,Feminine,25,2026-01-20 08:39:32
8334,Modern,16,2026-01-20 08:39:32
8334,Masculine,13,2026-01-20 08:39:32
8334,Classic,6,2026-01-20 08:39:32
8337,Feminine,17,2026-01-20 08:39:32
8337,Modern,11,2026-01-20 08:39:32
8337,Masculine,10,2026-01-20 08:39:32
8337,Classic,8,2026-01-20 08:39:32
8338,Masculine,23,2026-01-20 08:39:32
8338,Feminine,15,2026-01-20 08:39:32
8338,Classic,11,2026-01-20 08:39:32
8338,Modern,9,2026-01-20 08:39:32
8341,Feminine,23,2026-01-20 08:39:32
8341,Modern,14,2026-01-20 08:39:32
8341,Classic,10,2026-01-20 08:39:32
8341,Masculine,6,2026-01-20 08:39:32
8344,Feminine,24,2026-01-20 08:39:32
8344,Modern,10,2026-01-20 08:39:32
8344,Masculine,8,2026-01-20 08:39:32
8344,Classic,3,2026-01-20 08:39:32
8352,Masculine,13,2026-01-20 08:39:32
8352,Feminine,10,2026-01-20 08:39:32
8352,Modern,6,2026-01-20 08:39:32
8352,Classic,5,2026-01-20 08:39:32
8354,Feminine,16,2026-01-20 08:39:32
8354,Masculine,14,2026-01-20 08:39:32
8354,Modern,10,2026-01-20 08:39:32
8354,Classic,8,2026-01-20 08:39:32
8356,Masculine,12,2026-01-20 08:39:32
8356,Feminine,11,2026-01-20 08:39:32
8356,Modern,9,2026-01-20 08:39:32
8356,Classic,2,2026-01-20 08:39:32
8362,Masculine,14,2026-01-20 08:39:32
8362,Feminine,9,2026-01-20 08:39:32
8362,Modern,2,2026-01-20 08:39:32
8367,Masculine,12,2026-01-20 08:39:32
8367,Modern,9,2026-01-20 08:39:32
8367,Classic,3,2026-01-20 08:39:32
8367,Feminine,2,2026-01-20 08:39:32
8379,Feminine,17,2026-01-20 08:39:32
8379,Modern,7,2026-01-20 08:39:32
8379,Masculine,6,2026-01-20 08:39:32
8379,Classic,2,2026-01-20 08:39:32
8383,Masculine,13,2026-01-20 08:39:32
8383,Feminine,13,2026-01-20 08:39:32
8383,Modern,6,2026-01-20 08:39:32
8383,Classic,3,2026-01-20 08:39:32
8399,Feminine,401,2026-01-20 08:39:32
8399,Modern,171,2026-01-20 08:39:32
8399,Classic,112,2026-01-20 08:39:32
8403,Feminine,351,2026-01-20 08:39:32
8403,Classic,148,2026-01-20 08:39:32
8403,Modern,143,2026-01-20 08:39:32
8407,Feminine,342,2026-01-20 08:39:32
8407,Classic,159,2026-01-20 08:39:32
8407,Masculine,111,2026-01-20 08:39:32
8407,Modern,91,2026-01-20 08:39:32
8408,Masculine,49,2026-01-20 08:39:32
8408,Feminine,37,2026-01-20 08:39:32
8408,Modern,26,2026-01-20 08:39:32
8408,Classic,18,2026-01-20 08:39:32
8411,Masculine,131,2026-01-20 08:39:32
8411,Modern,92,2026-01-20 08:39:32
8411,Classic,45,2026-01-20 08:39:32
8412,Masculine,38,2026-01-20 08:39:32
8412,Feminine,20,2026-01-20 08:39:32
8412,Classic,12,2026-01-20 08:39:32
8412,Modern,8,2026-01-20 08:39:32
8415,Masculine,144,2026-01-20 08:39:32
8415,Modern,88,2026-01-20 08:39:32
8415,Classic,43,2026-01-20 08:39:32
8415,Feminine,17,2026-01-20 08:39:32
8416,Masculine,29,2026-01-20 08:39:32
8416,Classic,13,2026-01-20 08:39:32
8416,Modern,8,2026-01-20 08:39:32
8419,Masculine,158,2026-01-20 08:39:32
8419,Modern,75,2026-01-20 08:39:32
8419,Classic,62,2026-01-20 08:39:32
8419,Feminine,19,2026-01-20 08:39:32
8421,Masculine,29,2026-01-20 08:39:32
8421,Feminine,16,2026-01-20 08:39:32
8421,Classic,16,2026-01-20 08:39:32
8421,Modern,13,2026-01-20 08:39:32
8422,Masculine,10,2026-01-20 08:39:32
8422,Classic,3,2026-01-20 08:39:32
8422,Modern,2,2026-01-20 08:39:32
8423,Masculine,120,2026-01-20 08:39:32
8423,Modern,80,2026-01-20 08:39:32
8423,Feminine,78,2026-01-20 08:39:32
8423,Classic,34,2026-01-20 08:39:32
8425,Masculine,31,2026-01-20 08:39:32
8425,Classic,17,2026-01-20 08:39:32
8425,Modern,10,2026-01-20 08:39:32
8425,Feminine,5,2026-01-20 08:39:32
8427,Masculine,84,2026-01-20 08:39:32
8427,Modern,60,2026-01-20 08:39:32
8427,Feminine,23,2026-01-20 08:39:32
8427,Classic,19,2026-01-20 08:39:32
8429,Masculine,26,2026-01-20 08:39:32
8429,Feminine,12,2026-01-20 08:39:32
8429,Modern,9,2026-01-20 08:39:32
8429,Classic,7,2026-01-20 08:39:32
8436,Masculine,71,2026-01-20 08:39:32
8436,Modern,30,2026-01-20 08:39:32
8436,Classic,24,2026-01-20 08:39:32
8436,Feminine,17,2026-01-20 08:39:32
8439,Feminine,85,2026-01-20 08:39:32
8439,Modern,29,2026-01-20 08:39:32
8439,Classic,23,2026-01-20 08:39:32
8439,Masculine,10,2026-01-20 08:39:32
8440,Masculine,16,2026-01-20 08:39:32
8440,Modern,8,2026-01-20 08:39:32
8440,Classic,4,2026-01-20 08:39:32
8440,Feminine,3,2026-01-20 08:39:32
8447,Masculine,49,2026-01-20 08:39:32
8447,Modern,28,2026-01-20 08:39:32
8447,Classic,19,2026-01-20 08:39:32
8447,Feminine,9,2026-01-20 08:39:32
8448,Masculine,20,2026-01-20 08:39:32
8448,Modern,13,2026-01-20 08:39:32
8448,Classic,9,2026-01-20 08:39:32
8455,Masculine,13,2026-01-20 08:39:32
8455,Modern,9,2026-01-20 08:39:32
8455,Classic,3,2026-01-20 08:39:32
8457,Feminine,66,2026-01-20 08:39:32
8457,Modern,26,2026-01-20 08:39:32
8457,Classic,16,2026-01-20 08:39:32
8458,Masculine,1195,2026-01-20 08:39:32
8458,Modern,677,2026-01-20 08:39:32
8458,Classic,557,2026-01-20 08:39:32
8461,Masculine,907,2026-01-20 08:39:32
8461,Modern,658,2026-01-20 08:39:32
8461,Classic,298,2026-01-20 08:39:32
8463,Feminine,56,2026-01-20 08:39:32
8463,Modern,27,2026-01-20 08:39:32
8463,Classic,9,2026-01-20 08:39:32
8465,Masculine,674,2026-01-20 08:39:32
8465,Modern,454,2026-01-20 08:39:32
8465,Classic,237,2026-01-20 08:39:32
8465,Feminine,126,2026-01-20 08:39:32
8468,Feminine,69,2026-01-20 08:39:32
8468,Modern,32,2026-01-20 08:39:32
8468,Classic,17,2026-01-20 08:39:32
8472,Feminine,57,2026-01-20 08:39:32
8472,Classic,16,2026-01-20 08:39:32
8472,Modern,16,2026-01-20 08:39:32
8472,Masculine,4,2026-01-20 08:39:32
8473,Masculine,612,2026-01-20 08:39:32
8473,Modern,328,2026-01-20 08:39:32
8473,Classic,299,2026-01-20 08:39:32
8476,Feminine,57,2026-01-20 08:39:32
8476,Classic,31,2026-01-20 08:39:32
8476,Modern,20,2026-01-20 08:39:32
8476,Masculine,8,2026-01-20 08:39:32
8488,Feminine,69,2026-01-20 08:39:32
8488,Modern,25,2026-01-20 08:39:32
8488,Classic,21,2026-01-20 08:39:32
8488,Masculine,9,2026-01-20 08:39:32
8492,Masculine,495,2026-01-20 08:39:32
8492,Classic,319,2026-01-20 08:39:32
8492,Modern,177,2026-01-20 08:39:32
8493,Masculine,43,2026-01-20 08:39:32
8493,Modern,25,2026-01-20 08:39:32
8493,Feminine,7,2026-01-20 08:39:32
8497,Masculine,462,2026-01-20 08:39:32
8497,Classic,338,2026-01-20 08:39:32
8497,Modern,70,2026-01-20 08:39:32
8497,Feminine,50,2026-01-20 08:39:32
8500,Feminine,372,2026-01-20 08:39:32
8500,Classic,253,2026-01-20 08:39:32
8500,Masculine,241,2026-01-20 08:39:32
8500,Modern,87,2026-01-20 08:39:32
8502,Masculine,25,2026-01-20 08:39:32
8502,Modern,23,2026-01-20 08:39:32
