PERFUME_ID,PERFUME_NAME,PERFUME_BRAND,RELEASE_YEAR,CONCENTRATION,PERFUMER,IMG_LINK,LOAD_DT
8272,Enigmatic Saffiano,Hugo Boss,2024,,,https://media.parfumo.com/perfume_social/c0/c042b8-enigmatic-saffiano-hugo-boss_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8275,Rose of No Man's Land,Byredo,2025,Absolu de Parfum,,https://media.parfumo.com/perfume_social/47/47536a_rose-of-no-man-s-land-absolu-de-parfum-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8276,Boss Intense Shimmer Edition,Hugo Boss,2004,Eau de Toilette,Ursula Wandel,https://media.parfumo.com/perfume_social/f3/f3a12c-boss-intense-shimmer-edition-eau-de-toilette-hugo-boss_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8277,HTTP://WWW.BONDNO9.COM,Bond No. 9,2013,,Michel Almairac,https://media.parfumo.com/perfume_social/4b/4b3e18-http-www-bondno9-com-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8280,Wild Violet,Hugo Boss,2024,,"Aurélien Guichard,Leonardo Lucheze,Takasago / 高砂",https://media.parfumo.com/perfume_social/5c/5c77f5-wild-violet-hugo-boss_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8281,Chelsea Flowers,Bond No. 9,2003,Eau de Parfum,Laurent Le Guernec,https://media.parfumo.com/perfume_social/3f/3fb791-chelsea-flowers-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8283,Elevator Music,Byredo,2018,Eau de Parfum,,https://media.parfumo.com/perfume_social/52/522d6b-elevator-music-eau-de-parfum-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8291,Bois Obscur,Byredo,2025,,"Jérôme Epinette,Robertet",https://media.parfumo.com/perfume_social/7f/7fa924_bois-obscur-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8294,Idle Hour,Ex Nihilo,2022,,Jordi Fernández,https://media.parfumo.com/perfume_social/d7/d74287-idle-hour-ex-nihilo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8295,Sunday Cologne,Byredo,2014,Eau de Cologne,,https://media.parfumo.com/perfume_social/33/330898-sunday-cologne-eau-de-cologne-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8296,Union Square,Bond No. 9,2008,Eau de Parfum,Stephen Nilsen,https://media.parfumo.com/perfume_social/6d/6d7dbc-union-square-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8299,La Botte,Byredo,2016,,Jérôme Epinette,https://media.parfumo.com/perfume_social/f3/f34705-la-botte-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8301,NoMad,Bond No. 9,2021,,,https://media.parfumo.com/perfume_social/7d/7dd0c5-nomad-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8302,Musc,Ex Nihilo,2016,,Olivier Pescheux,https://media.parfumo.com/perfume_social/da/dab1b3-musc-ex-nihilo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8303,Le Gant,Byredo,2016,,Jérôme Epinette,https://media.parfumo.com/perfume_social/5a/5a299a-le-gant-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8307,Gypsy Water,Byredo,,Huile Parfum,Jérôme Epinette,https://media.parfumo.com/perfume_social/ba/baa937-gypsy-water-huile-parfum-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8309,Hudson Yards,Bond No. 9,2014,,Aurélien Guichard,https://media.parfumo.com/perfume_social/6d/6dc2c7-hudson-yards-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8311,Midnight Candy,Byredo,2015,,,https://media.parfumo.com/perfume_social/4d/4d3a5d-midnight-candy-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8313,Off-BroadwayWest Broadway,Bond No. 9,2003,,Robertet,https://media.parfumo.com/perfume_social/60/6006c0-west-broadway-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8314,Bal d'Afrique,Byredo,,Huile Parfum,Jérôme Epinette,https://media.parfumo.com/perfume_social/c7/c7f6c3-bal-d-afrique-huile-parfum-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8317,Riverside Drive,Bond No. 9,2003,,Maurice Roucel,https://media.parfumo.com/perfume_social/a5/a58c98-riverside-drive-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8319,"Don't Get Me Wrong BabyDon't Get Me Wrong Baby, I Don't Swallow",Etat Libre D Orange,2007,,Antoine Maisondieu,https://media.parfumo.com/perfume_social/bd/bd4c15-don-t-get-me-wrong-baby-don-t-get-me-wrong-baby-i-don-t-swallow-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8321,Nolita,Bond No. 9,2017,,,https://media.parfumo.com/perfume_social/16/1644a2-nolita-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8325,Central Park South,Bond No. 9,2013,,,https://media.parfumo.com/perfume_social/64/6420a8-central-park-south-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8326,Nombril Immense,Etat Libre D Orange,2006,,Nathalie Feisthauer,https://media.parfumo.com/perfume_social/04/04480d-nombril-immense-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8329,Central Park,Bond No. 9,2004,,Robertet,https://media.parfumo.com/perfume_social/d3/d3869d-central-park-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8331,Heliotropia,Byredo,2016,,,https://media.parfumo.com/perfume_social/27/273960-heliotropia-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8334,Encens et Bubblegum,Etat Libre D Orange,2006,,Antoine Maisondieu,https://media.parfumo.com/perfume_social/44/440991-encens-et-bubblegum-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8335,Blanche,Byredo,2015,Hair Perfume,,https://media.parfumo.com/perfume_social/c2/c2a113-blanche-hair-perfume-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8337,I Love New York for Holidays,Bond No. 9,2013,,,https://media.parfumo.com/perfume_social/7f/7f46a5-i-love-new-york-for-holidays-bond-no-9_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8338,Antihéros,Etat Libre D Orange,2006,,Antoine Maisondieu,https://media.parfumo.com/perfume_social/7e/7e8dcb-antiheros-etat-libre-d-orange_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
8339,Deep Viola,Byredo,2020,,,https://media.parfumo.com/perfume_social/23/239e30-deep-viola-byredo_1200.jpg?format=jpg&quality=90,2026-01-21 01:17:56
