PERFUME_ID,SEASON,VOTE,LOAD_DT
8272,Fall,2,2026-01-20 08:41:52
8272,Summer,2,2026-01-20 08:41:52
8272,Spring,2,2026-01-20 08:41:52
8272,Winter,1,2026-01-20 08:41:52
8275,Fall,13,2026-01-20 08:41:52
8275,Spring,13,2026-01-20 08:41:52
8275,Winter,12,2026-01-20 08:41:52
8275,Summer,7,2026-01-20 08:41:52
8276,Summer,4,2026-01-20 08:41:52
8276,Spring,3,2026-01-20 08:41:52
8277,Fall,15,2026-01-20 08:41:52
8277,Summer,14,2026-01-20 08:41:52
8277,Spring,14,2026-01-20 08:41:52
8277,Winter,9,2026-01-20 08:41:52
8280,Winter,1,2026-01-20 08:41:52
8280,Fall,1,2026-01-20 08:41:52
8281,Spring,22,2026-01-20 08:41:52
8281,Summer,20,2026-01-20 08:41:52
8281,Fall,4,2026-01-20 08:41:52
8283,Fall,7,2026-01-20 08:41:52
8283,Spring,7,2026-01-20 08:41:52
8283,Winter,5,2026-01-20 08:41:52
8283,Summer,5,2026-01-20 08:41:52
8291,Winter,5,2026-01-20 08:41:52
8291,Fall,5,2026-01-20 08:41:52
8294,Fall,1,2026-01-20 08:41:52
8294,Spring,1,2026-01-20 08:41:52
8295,Summer,8,2026-01-20 08:41:52
8295,Spring,7,2026-01-20 08:41:52
8295,Fall,5,2026-01-20 08:41:52
8295,Winter,1,2026-01-20 08:41:52
8296,Spring,19,2026-01-20 08:41:52
8296,Summer,18,2026-01-20 08:41:52
8296,Fall,6,2026-01-20 08:41:52
8296,Winter,4,2026-01-20 08:41:52
8299,Fall,7,2026-01-20 08:41:52
8299,Spring,7,2026-01-20 08:41:52
8299,Winter,6,2026-01-20 08:41:52
8299,Summer,6,2026-01-20 08:41:52
8301,Fall,10,2026-01-20 08:41:52
8301,Spring,9,2026-01-20 08:41:52
8301,Winter,8,2026-01-20 08:41:52
8301,Summer,4,2026-01-20 08:41:52
8302,Winter,2,2026-01-20 08:41:52
8302,Fall,2,2026-01-20 08:41:52
8302,Summer,2,2026-01-20 08:41:52
8302,Spring,2,2026-01-20 08:41:52
8303,Fall,9,2026-01-20 08:41:52
8303,Spring,7,2026-01-20 08:41:52
8303,Summer,5,2026-01-20 08:41:52
8303,Winter,4,2026-01-20 08:41:52
8307,Spring,6,2026-01-20 08:41:52
