perfume_id	perfume	brand	release_year	concentration	perfumer	accord	audience	season	occasion	top_note	middle_note	base_note	tags	img	link	total_votes
P_08277	HTTP://WWW.BONDNO9.COM	Bond No. 9	2013.0		Michel Almairac	{'Citrus': '10', 'Spicy': '5', 'Synthetic': '8', 'Sweet': '9', 'Woody': '4', 'Green': '4', 'Fruity': '12', 'Fresh': '12'}	{'Masculine': '14', 'Feminine': '6', 'Classic': '8', 'Modern': '9'}	{'Winter': '9', 'Fall': '15', 'Summer': '14', 'Spring': '14'}	{'Daily': '10', 'Sport': '7', 'Leisure': '12', 'Night Out': '14', 'Business': '10', 'Evening': '11'}	Juniper berry, Pineapple, Yellow bergamot	Apple, Cedarwood, Blackcurrant	Musk, Moss, Amber, Patchouli		https://media.parfumo.com/perfume_social/4b/4b3e18-http-www-bondno9-com-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/httpbondno9_com	64
P_08281	Chelsea Flowers	Bond No. 9	2003.0	Eau de Parfum	Laurent Le Guernec	{'Synthetic': '8', 'Sweet': '5', 'Fruity': '7', 'Fresh': '15', 'Floral': '22'}	{'Feminine': '21', 'Classic': '6', 'Modern': '14'}	{'Fall': '4', 'Summer': '20', 'Spring': '22'}	{'Daily': '17', 'Sport': '3', 'Leisure': '21', 'Night Out': '5', 'Business': '15'}	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak	Magnolia, Sandalwood, Mimosa, Rose, Tree moss, Vetiver, Musk, White peony, White hyacinth, White oak		https://media.parfumo.com/perfume_social/3f/3fb791-chelsea-flowers-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Chelsea_Flowers	57
P_08296	Union Square	Bond No. 9	2008.0	Eau de Parfum	Stephen Nilsen	{'Spicy': '4', 'Synthetic': '15', 'Sweet': '4', 'Woody': '4', 'Green': '9', 'Fruity': '4', 'Fresh': '13', 'Floral': '20', 'Aquatic': '7'}	{'Masculine': '9', 'Feminine': '19', 'Classic': '4', 'Modern': '10'}	{'Winter': '4', 'Fall': '6', 'Summer': '18', 'Spring': '19'}	{'Daily': '16', 'Sport': '4', 'Leisure': '16', 'Night Out': '6', 'Business': '12', 'Evening': '6'}	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber	Lily of the valley, Blue freesia, Green notes, Musk, Silver birch, Amber		https://media.parfumo.com/perfume_social/6d/6d7dbc-union-square-eau-de-parfum-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Andy_Warhol_Union_Square	80
P_08299	La Botte	Byredo	2016.0		Jérôme Epinette	{'Spicy': '5', 'Synthetic': '4', 'Sweet': '3', 'Powdery': '3', 'Leathery': '9', 'Woody': '8', 'Green': '4', 'Fruity': '3', 'Fresh': '3', 'Creamy': '3', 'Floral': '8', 'Animal': '3'}	{'Masculine': '9', 'Feminine': '7', 'Classic': '5', 'Modern': '5'}	{'Winter': '6', 'Fall': '7', 'Summer': '6', 'Spring': '7'}	{'Daily': '2', 'Leisure': '5', 'Night Out': '8', 'Business': '1', 'Evening': '7'}	Jasmine absolute	Civettone, Violet	Mahogany wood, Suede		https://media.parfumo.com/perfume_social/f3/f34705-la-botte-byredo_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Byredo/la-botte	56
P_08309	Hudson Yards	Bond No. 9	2014.0		Aurélien Guichard	{'Synthetic': '7', 'Sweet': '11', 'Green': '14', 'Fruity': '14', 'Fresh': '18', 'Creamy': '5', 'Floral': '20'}	{'Masculine': '5', 'Feminine': '22', 'Classic': '5', 'Modern': '9'}	{'Winter': '2', 'Fall': '5', 'Summer': '18', 'Spring': '21'}	{'Daily': '17', 'Sport': '6', 'Leisure': '18', 'Night Out': '7', 'Business': '14'}	Freesia, Lily of the valley, Pink pepper	Bulgarian rose, Peony, Lychee	Orange blossom, White musk, Iris		https://media.parfumo.com/perfume_social/6d/6dc2c7-hudson-yards-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Hudson_Yards	89
P_08313	Off-BroadwayWest Broadway	Bond No. 9	2003.0		Robertet	{'Citrus': '14', 'Spicy': '8', 'Sweet': '5', 'Woody': '6', 'Resinous': '6', 'Green': '15', 'Fruity': '6', 'Fresh': '12', 'Floral': '13'}	{'Masculine': '17', 'Feminine': '11', 'Classic': '7', 'Modern': '9'}	{'Winter': '9', 'Fall': '12', 'Summer': '15', 'Spring': '18'}	{'Daily': '16', 'Sport': '3', 'Leisure': '18', 'Night Out': '6', 'Business': '10', 'Evening': '4'}	Blackcurrant, Grapefruit blossom	Lily, Nutmeg, Osmanthus	Musk, Patchouli, Sandalwood, Vetiver		https://media.parfumo.com/perfume_social/60/6006c0-west-broadway-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/off-broadway-west-broadway	85
P_08317	Riverside Drive	Bond No. 9	2003.0		Maurice Roucel	{'Citrus': '4', 'Spicy': '11', 'Sweet': '6', 'Woody': '12', 'Green': '14', 'Fruity': '8', 'Fresh': '11', 'Earthy': '5', 'Floral': '11'}	{'Masculine': '18', 'Feminine': '3', 'Classic': '6', 'Modern': '5'}	{'Winter': '6', 'Fall': '12', 'Summer': '13', 'Spring': '15'}	{'Daily': '13', 'Leisure': '14', 'Night Out': '5', 'Business': '12', 'Evening': '6'}	Violet, Basil, Watery fruits	Pineapple, Lily of the valley, Rose	Oakmoss, Cedarwood, Patchouli, Sandalwood		https://media.parfumo.com/perfume_social/a5/a58c98-riverside-drive-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Riverside_Drive	82
P_08319	Don't Get Me Wrong BabyDon't Get Me Wrong Baby, I Don't Swallow	Etat Libre D Orange	2007.0		Antoine Maisondieu	{'Synthetic': '20', 'Sweet': '16', 'Green': '8', 'Gourmand': '7', 'Fresh': '19', 'Floral': '36', 'Animal': '11'}	{'Masculine': '7', 'Feminine': '37', 'Classic': '10', 'Modern': '17'}	{'Winter': '10', 'Fall': '18', 'Summer': '22', 'Spring': '33'}	{'Daily': '28', 'Sport': '7', 'Leisure': '29', 'Night Out': '13', 'Business': '17', 'Evening': '12'}	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow	Jasmine, Lily of the valley, Aldehydes, Musk, Orange blossom, Amber, Patchouli, Cocoa, Marshmallow		https://media.parfumo.com/perfume_social/bd/bd4c15-don-t-get-me-wrong-baby-don-t-get-me-wrong-baby-i-don-t-swallow-etat-libre-d-orange_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Etat_Libre_d_Orange/don-t-get-me-wrong-baby-i-don-t-swallow	117
P_08321	Nolita	Bond No. 9	2017.0			{'Citrus': '4', 'Spicy': '3', 'Sweet': '11', 'Woody': '6', 'Green': '3', 'Fruity': '10', 'Fresh': '6', 'Creamy': '4', 'Floral': '15'}	{'Feminine': '16', 'Classic': '5', 'Modern': '7'}	{'Winter': '6', 'Fall': '11', 'Summer': '8', 'Spring': '13'}	{'Daily': '10', 'Leisure': '11', 'Night Out': '14', 'Business': '8', 'Evening': '10'}	Freesia, Tangerine	Jasmine sambac, Lily, Rose	Musk, Amber, Sandalwood		https://media.parfumo.com/perfume_social/16/1644a2-nolita-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Nolita	62
P_08325	Central Park South	Bond No. 9	2013.0			{'Spicy': '5', 'Synthetic': '11', 'Sweet': '6', 'Powdery': '4', 'Woody': '7', 'Green': '9', 'Fruity': '8', 'Fresh': '13', 'Floral': '25'}	{'Feminine': '22', 'Classic': '10', 'Modern': '8'}	{'Winter': '6', 'Fall': '10', 'Summer': '16', 'Spring': '21'}	{'Daily': '10', 'Sport': '3', 'Leisure': '15', 'Night Out': '17', 'Business': '9', 'Evening': '16'}	Grapefruit blossom, Blackcurrant bud, Clementine, Violet leaf	Lily of the valley, Jasmine, Acacia, Jonquil, Orris root, Tuberose	Musk, Sandalwood, Benzoin, Cedarwood		https://media.parfumo.com/perfume_social/64/6420a8-central-park-south-bond-no-9_1200.jpg?format=jpg&quality=90	https://www.parfumo.com/Perfumes/Bond_No_9/Central_Park_South	88
