PERFUME_ID,ACCORD,ratio,LOAD_DT
8277,Fruity,18.75,2026-01-20 08:39:32
8277,Fresh,18.75,2026-01-20 08:39:32
8277,Citrus,15.62,2026-01-20 08:39:32
8277,Sweet,14.06,2026-01-20 08:39:32
8277,Synthetic,12.5,2026-01-20 08:39:32
8281,Floral,38.6,2026-01-20 08:39:32
8281,Fresh,26.32,2026-01-20 08:39:32
8281,Synthetic,14.04,2026-01-20 08:39:32
8296,Floral,25.0,2026-01-20 08:39:32
8296,Synthetic,18.75,2026-01-20 08:39:32
8296,Fresh,16.25,2026-01-20 08:39:32
8296,Green,11.25,2026-01-20 08:39:32
8296,Aquatic,8.75,2026-01-20 08:39:32
8299,Leathery,16.07,2026-01-20 08:39:32
8299,Woody,14.29,2026-01-20 08:39:32
8299,Floral,14.29,2026-01-20 08:39:32
8299,Spicy,8.93,2026-01-20 08:39:32
8299,Synthetic,7.14,2026-01-20 08:39:32
8299,Green,7.14,2026-01-20 08:39:32
8309,Floral,22.47,2026-01-20 08:39:32
8309,Fresh,20.22,2026-01-20 08:39:32
8309,Green,15.73,2026-01-20 08:39:32
8309,Fruity,15.73,2026-01-20 08:39:32
8313,Green,17.65,2026-01-20 08:39:32
8313,Citrus,16.47,2026-01-20 08:39:32
8313,Floral,15.29,2026-01-20 08:39:32
8313,Fresh,14.12,2026-01-20 08:39:32
8313,Spicy,9.41,2026-01-20 08:39:32
8317,Green,17.07,2026-01-20 08:39:32
8317,Woody,14.63,2026-01-20 08:39:32
8317,Spicy,13.41,2026-01-20 08:39:32
8317,Fresh,13.41,2026-01-20 08:39:32
8317,Floral,13.41,2026-01-20 08:39:32
8319,Floral,30.77,2026-01-20 08:39:32
8319,Synthetic,17.09,2026-01-20 08:39:32
8319,Fresh,16.24,2026-01-20 08:39:32
8319,Sweet,13.68,2026-01-20 08:39:32
8321,Floral,24.19,2026-01-20 08:39:32
8321,Sweet,17.74,2026-01-20 08:39:32
8321,Fruity,16.13,2026-01-20 08:39:32
8321,Woody,9.68,2026-01-20 08:39:32
8321,Fresh,9.68,2026-01-20 08:39:32
8325,Floral,28.41,2026-01-20 08:39:32
8325,Fresh,14.77,2026-01-20 08:39:32
8325,Synthetic,12.5,2026-01-20 08:39:32
8325,Green,10.23,2026-01-20 08:39:32
8325,Fruity,9.09,2026-01-20 08:39:32
8326,Spicy,22.31,2026-01-20 08:39:32
8326,Earthy,20.0,2026-01-20 08:39:32
8326,Woody,16.15,2026-01-20 08:39:32
8326,Powdery,9.23,2026-01-20 08:39:32
8329,Green,25.56,2026-01-20 08:39:32
8329,Fresh,25.56,2026-01-20 08:39:32
8329,Citrus,15.56,2026-01-20 08:39:32
8329,Woody,11.11,2026-01-20 08:39:32
8334,Synthetic,16.83,2026-01-20 08:39:32
8334,Fruity,16.83,2026-01-20 08:39:32
8334,Sweet,14.85,2026-01-20 08:39:32
8334,Floral,13.86,2026-01-20 08:39:32
8334,Smoky,12.87,2026-01-20 08:39:32
8337,Spicy,19.51,2026-01-20 08:39:32
8337,Fruity,19.51,2026-01-20 08:39:32
8337,Sweet,15.85,2026-01-20 08:39:32
8337,Gourmand,13.41,2026-01-20 08:39:32
8338,Woody,19.32,2026-01-20 08:39:32
8338,Fresh,18.18,2026-01-20 08:39:32
8338,Floral,17.05,2026-01-20 08:39:32
8338,Green,14.77,2026-01-20 08:39:32
8341,Fresh,24.1,2026-01-20 08:39:32
8341,Floral,22.89,2026-01-20 08:39:32
8341,Fruity,19.28,2026-01-20 08:39:32
8344,Fruity,23.86,2026-01-20 08:39:32
8344,Floral,21.59,2026-01-20 08:39:32
8344,Sweet,18.18,2026-01-20 08:39:32
8344,Leathery,15.91,2026-01-20 08:39:32
8352,Synthetic,16.67,2026-01-20 08:39:32
8352,Fresh,16.67,2026-01-20 08:39:32
8352,Spicy,14.81,2026-01-20 08:39:32
8352,Woody,14.81,2026-01-20 08:39:32
8352,Citrus,11.11,2026-01-20 08:39:32
8352,Floral,11.11,2026-01-20 08:39:32
8354,Floral,17.72,2026-01-20 08:39:32
8354,Woody,15.19,2026-01-20 08:39:32
8354,Green,12.66,2026-01-20 08:39:32
8354,Fruity,12.66,2026-01-20 08:39:32
8354,Fresh,12.66,2026-01-20 08:39:32
8356,Fresh,26.0,2026-01-20 08:39:32
8356,Citrus,20.0,2026-01-20 08:39:32
8356,Spicy,20.0,2026-01-20 08:39:32
8362,Woody,20.34,2026-01-20 08:39:32
8362,Synthetic,15.25,2026-01-20 08:39:32
8362,Fresh,15.25,2026-01-20 08:39:32
8362,Floral,15.25,2026-01-20 08:39:32
8362,Fruity,10.17,2026-01-20 08:39:32
8367,Fresh,21.05,2026-01-20 08:39:32
8367,Aquatic,21.05,2026-01-20 08:39:32
8367,Green,19.3,2026-01-20 08:39:32
8367,Citrus,15.79,2026-01-20 08:39:32
8379,Fruity,28.57,2026-01-20 08:39:32
8379,Sweet,22.22,2026-01-20 08:39:32
8379,Floral,15.87,2026-01-20 08:39:32
8383,Green,22.86,2026-01-20 08:39:32
8383,Fresh,21.43,2026-01-20 08:39:32
8383,Floral,17.14,2026-01-20 08:39:32
8383,Citrus,14.29,2026-01-20 08:39:32
8399,Sweet,25.69,2026-01-20 08:39:32
8399,Powdery,23.01,2026-01-20 08:39:32
8399,Gourmand,14.36,2026-01-20 08:39:32
8399,Floral,14.07,2026-01-20 08:39:32
8403,Floral,33.27,2026-01-20 08:39:32
8403,Powdery,25.38,2026-01-20 08:39:32
8403,Sweet,16.63,2026-01-20 08:39:32
8407,Spicy,28.4,2026-01-20 08:39:32
8407,Oriental,24.22,2026-01-20 08:39:32
8407,Sweet,16.94,2026-01-20 08:39:32
8408,Fresh,21.13,2026-01-20 08:39:32
