PERFUME_ID,OCCASION,ratio,LOAD_DT
8277,Night Out,21.88,2026-01-20 08:39:35
8277,Leisure,18.75,2026-01-20 08:39:35
8277,Evening,17.19,2026-01-20 08:39:35
8277,Daily,15.62,2026-01-20 08:39:35
8277,Business,15.62,2026-01-20 08:39:35
8281,Leisure,34.43,2026-01-20 08:39:35
8281,Daily,27.87,2026-01-20 08:39:35
8281,Business,24.59,2026-01-20 08:39:35
8296,Daily,26.67,2026-01-20 08:39:35
8296,Leisure,26.67,2026-01-20 08:39:35
8296,Business,20.0,2026-01-20 08:39:35
8299,Night Out,34.78,2026-01-20 08:39:35
8299,Evening,30.43,2026-01-20 08:39:35
8299,Leisure,21.74,2026-01-20 08:39:35
8309,Leisure,29.03,2026-01-20 08:39:35
8309,Daily,27.42,2026-01-20 08:39:35
8309,Business,22.58,2026-01-20 08:39:35
8313,Leisure,31.58,2026-01-20 08:39:35
8313,Daily,28.07,2026-01-20 08:39:35
8313,Business,17.54,2026-01-20 08:39:35
8317,Leisure,28.0,2026-01-20 08:39:35
8317,Daily,26.0,2026-01-20 08:39:35
8317,Business,24.0,2026-01-20 08:39:35
8319,Leisure,27.36,2026-01-20 08:39:35
8319,Daily,26.42,2026-01-20 08:39:35
8319,Business,16.04,2026-01-20 08:39:35
8321,Night Out,26.42,2026-01-20 08:39:35
8321,Leisure,20.75,2026-01-20 08:39:35
8321,Daily,18.87,2026-01-20 08:39:35
8321,Evening,18.87,2026-01-20 08:39:35
8321,Business,15.09,2026-01-20 08:39:35
8325,Night Out,24.29,2026-01-20 08:39:35
8325,Evening,22.86,2026-01-20 08:39:35
8325,Leisure,21.43,2026-01-20 08:39:35
8326,Leisure,26.96,2026-01-20 08:39:35
8326,Daily,22.61,2026-01-20 08:39:35
8326,Evening,19.13,2026-01-20 08:39:35
8326,Night Out,15.65,2026-01-20 08:39:35
8326,Business,15.65,2026-01-20 08:39:35
8329,Leisure,30.88,2026-01-20 08:39:35
8329,Daily,26.47,2026-01-20 08:39:35
8329,Business,23.53,2026-01-20 08:39:35
8334,Leisure,33.85,2026-01-20 08:39:35
8334,Evening,21.54,2026-01-20 08:39:35
8334,Night Out,20.0,2026-01-20 08:39:35
8334,Daily,15.38,2026-01-20 08:39:35
8337,Leisure,26.23,2026-01-20 08:39:35
8337,Daily,21.31,2026-01-20 08:39:35
8337,Night Out,18.03,2026-01-20 08:39:35
8337,Evening,18.03,2026-01-20 08:39:35
8337,Business,16.39,2026-01-20 08:39:35
8338,Daily,25.71,2026-01-20 08:39:35
8338,Leisure,25.71,2026-01-20 08:39:35
8338,Business,21.43,2026-01-20 08:39:35
8341,Leisure,29.41,2026-01-20 08:39:35
8341,Business,25.0,2026-01-20 08:39:35
8341,Daily,23.53,2026-01-20 08:39:35
8344,Daily,23.81,2026-01-20 08:39:35
8344,Leisure,23.81,2026-01-20 08:39:35
8344,Night Out,20.63,2026-01-20 08:39:35
8344,Business,15.87,2026-01-20 08:39:35
8344,Evening,15.87,2026-01-20 08:39:35
8352,Leisure,29.27,2026-01-20 08:39:35
8352,Daily,21.95,2026-01-20 08:39:35
8352,Business,17.07,2026-01-20 08:39:35
8354,Leisure,25.86,2026-01-20 08:39:35
8354,Business,25.86,2026-01-20 08:39:35
8354,Daily,18.97,2026-01-20 08:39:35
8356,Daily,24.0,2026-01-20 08:39:35
8356,Business,24.0,2026-01-20 08:39:35
8356,Leisure,22.0,2026-01-20 08:39:35
8362,Leisure,24.49,2026-01-20 08:39:35
8362,Business,24.49,2026-01-20 08:39:35
8362,Daily,22.45,2026-01-20 08:39:35
8367,Leisure,26.19,2026-01-20 08:39:35
8367,Business,23.81,2026-01-20 08:39:35
8367,Daily,21.43,2026-01-20 08:39:35
8367,Sport,19.05,2026-01-20 08:39:35
8379,Daily,25.45,2026-01-20 08:39:35
8379,Leisure,25.45,2026-01-20 08:39:35
8379,Business,21.82,2026-01-20 08:39:35
8383,Daily,28.07,2026-01-20 08:39:35
